__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751346438.270840,270525403.000000000,1751346438.000000000,4.000000000,0.253984225,-0.097139377,0.252644254,-0.008489916,-0.024633087,0.000500141,0.000004496,-0.000033953,-0.033591590
1751346438.320834,320516140.000000000,1751346438.000000000,4.000000000,0.253976825,-0.097131375,0.252637182,-0.008486928,-0.024630346,0.000485833,0.000006736,-0.000031301,-0.033580718
1751346438.370846,370523413.000000000,1751346438.000000000,4.000000000,0.253974781,-0.097124272,0.252635377,-0.008485279,-0.024628353,0.000474544,0.000007587,-0.000029199,-0.033574436
1751346438.420768,420477316.000000000,1751346438.000000000,4.000000000,0.253971712,-0.097116798,0.252632554,-0.008483822,-0.024626166,0.000463294,0.000008197,-0.000027026,-0.033569051
1751346438.470823,470512373.000000000,1751346438.000000000,4.000000000,0.253966894,-0.097109867,0.252627965,-0.008482682,-0.024623947,0.000452196,0.000008465,-0.000024989,-0.033565154
1751346438.520850,520522435.000000000,1751346438.000000000,4.000000000,0.253973487,-0.097102759,0.252634734,-0.008481829,-0.024622789,0.000443663,0.000008414,-0.000023444,-0.033560880
1751346438.570838,570524605.000000000,1751346438.000000000,4.000000000,0.253966546,-0.097094378,0.252628018,-0.008482152,-0.024619998,0.000432486,0.000007042,-0.000021051,-0.033563050
1751346438.620825,620535543.000000000,1751346438.000000000,4.000000000,0.253959323,-0.097080933,0.252621098,-0.008483852,-0.024615899,0.000418841,0.000003973,-0.000017490,-0.033570692
1751346438.670826,670494904.000000000,1751346438.000000000,4.000000000,0.253950434,-0.097077405,0.252612301,-0.008484794,-0.024614146,0.000405330,0.000001969,-0.000016521,-0.033575582
1751346438.721029,720555494.000000000,1751346438.000000000,4.000000000,0.253958519,-0.097075438,0.252620401,-0.008484819,-0.024614432,0.000402533,0.000001706,-0.000016577,-0.033574606
