__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751357964.016203,15878668.000000000,1751357964.000000000,4.000000000,0.525509794,-0.039448603,0.520034952,-0.072764391,-0.020725251,0.003389975,0.003550510,-0.023834548,-0.139019553,,,,,,,,,,
1751357964.066174,65877615.000000000,1751357964.000000000,4.000000000,0.526966269,-0.027803985,0.521578243,-0.073722227,-0.014649875,0.003605845,0.002969977,-0.019855121,-0.140414373,,,,,,,,,,
1751357964.116209,115879072.000000000,1751357964.000000000,4.000000000,0.528165933,-0.011337539,0.522777787,-0.075011884,-0.005987974,0.003679271,0.002194459,-0.014536654,-0.142514386,,,,,,,,,,
1751357964.166216,165882452.000000000,1751357964.000000000,4.000000000,0.527937756,-0.000996108,0.522453545,-0.075896584,-0.000525883,0.003410175,0.001606180,-0.011150121,-0.144260397,,,,,,,,,,
1751357964.216141,215871376.000000000,1751357964.000000000,4.000000000,0.526644087,0.014209171,0.520950810,-0.076865165,0.007482924,0.002779371,0.000922611,-0.006374712,-0.146490885,,,,,,,,,,
1751357964.266258,265931985.000000000,1751357964.000000000,4.000000000,0.523619641,0.030265954,0.517613152,-0.077479517,0.015845428,0.001676651,0.000389352,-0.001560199,-0.148582984,,,,,,,,,,
1751357964.316370,315893954.000000000,1751357964.000000000,4.000000000,0.519768162,0.046359719,0.513338221,-0.077862678,0.024087675,0.000346602,-0.000037797,0.003082316,-0.150531692,,,,,,,,,,
1751357964.366169,365921939.000000000,1751357964.000000000,4.000000000,0.517139961,0.058601017,0.510272888,-0.078345268,0.030287586,-0.000598703,-0.000458720,0.006457769,-0.152346351,,,,,,,,,,
1751357964.416374,415899229.000000000,1751357964.000000000,4.000000000,0.516096102,0.063008488,0.509067256,-0.078419800,0.032496923,-0.000952305,-0.000547246,0.007571815,-0.152844596,,,,,,,,,,
1751357964.466108,465929291.000000000,1751357964.000000000,4.000000000,0.510323578,0.082266236,0.502480383,-0.078645214,0.041935062,-0.002854870,-0.000948426,0.012511201,-0.155254439,,,,,,,,,,
1751357964.516167,515861442.000000000,1751357964.000000000,4.000000000,0.506312546,0.097193272,0.497686820,-0.079032891,0.049132732,-0.004222816,-0.001359899,0.016197159,-0.157485435,,,,,,,,,,
1751357964.566204,565887853.000000000,1751357964.000000000,4.000000000,0.503737412,0.107059264,0.494551526,-0.079201288,0.053826795,-0.005079678,-0.001555400,0.018410592,-0.158799270,,,,,,,,,,
1751357964.616204,615884078.000000000,1751357964.000000000,4.000000000,0.501329483,0.116125627,0.491668767,-0.078860887,0.058086444,-0.005809986,-0.001424001,0.020206688,-0.159039734,,,,,,,,,,
1751357964.666203,665885368.000000000,1751357964.000000000,4.000000000,0.500161175,0.120344250,0.490256382,-0.078767491,0.060046337,-0.006136975,-0.001386004,0.020811695,-0.159304488,,,,,,,,,,
1751357964.716257,715903662.000000000,1751357964.000000000,4.000000000,0.500082819,0.121903508,0.490148800,-0.078351800,0.060810975,-0.006060071,-0.001093344,0.020669647,-0.158512015,,,,,,,,,,
1751357964.766110,765849601.000000000,1751357964.000000000,4.000000000,0.500576583,0.121322377,0.490753177,-0.077897521,0.060582265,-0.005797234,-0.000762730,0.020108851,-0.157417254,,,,,,,,,,
