__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw,/predictor/armor_predictions/predictions[1]/armor_id,/predictor/armor_predictions/predictions[1]/distance,/predictor/armor_predictions/predictions[1]/pitch,/predictor/armor_predictions/predictions[1]/position/x,/predictor/armor_predictions/predictions[1]/position/y,/predictor/armor_predictions/predictions[1]/position/z,/predictor/armor_predictions/predictions[1]/velocity/x,/predictor/armor_predictions/predictions[1]/velocity/y,/predictor/armor_predictions/predictions[1]/velocity/z,/predictor/armor_predictions/predictions[1]/yaw
1751349425.783731,783343128.000000000,1751349425.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349425.833758,833349164.000000000,1751349425.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349425.883879,883354491.000000000,1751349425.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349425.933813,933358399.000000000,1751349425.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349425.983743,983351435.000000000,1751349425.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349426.033786,33337789.000000000,1751349426.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349426.084277,83412672.000000000,1751349426.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349426.133827,133350861.000000000,1751349426.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349426.183784,183343583.000000000,1751349426.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349426.233701,233340326.000000000,1751349426.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
1751349426.284052,283400982.000000000,1751349426.000000000,-1.000000000,0.341141208,-0.125431896,0.338372886,-0.007727407,-0.042677873,0.000001842,-0.000006792,0.000014352,-0.022832989,4.000000000,0.509668560,-0.076029357,0.508157903,-0.006239620,-0.038712452,-0.003776129,-0.007117716,-0.006188599,-0.012278284
