__time,/detected_data/armor[0]/conf_color,/detected_data/armor[0]/conf_number,/detected_data/armor[0]/corners[0]/x,/detected_data/armor[0]/corners[0]/y,/detected_data/armor[0]/corners[0]/z,/detected_data/armor[0]/corners[1]/x,/detected_data/armor[0]/corners[1]/y,/detected_data/armor[0]/corners[1]/z,/detected_data/armor[0]/corners[2]/x,/detected_data/armor[0]/corners[2]/y,/detected_data/armor[0]/corners[2]/z,/detected_data/armor[0]/corners[3]/x,/detected_data/armor[0]/corners[3]/y,/detected_data/armor[0]/corners[3]/z,/detected_data/armor[0]/header/stamp/nanosec,/detected_data/armor[0]/header/stamp/sec,/detected_data/armor[0]/light_corners[0]/x,/detected_data/armor[0]/light_corners[0]/y,/detected_data/armor[0]/light_corners[0]/z,/detected_data/armor[0]/light_corners[1]/x,/detected_data/armor[0]/light_corners[1]/y,/detected_data/armor[0]/light_corners[1]/z,/detected_data/armor[0]/light_corners[2]/x,/detected_data/armor[0]/light_corners[2]/y,/detected_data/armor[0]/light_corners[2]/z,/detected_data/armor[0]/light_corners[3]/x,/detected_data/armor[0]/light_corners[3]/y,/detected_data/armor[0]/light_corners[3]/z,/detected_data/armor[0]/number,/detected_data/armor[0]/thread_id,/detected_data/armor_count,/detected_data/header/stamp/nanosec,/detected_data/header/stamp/sec,/detected_data/target_id
1752906052.649220,0.715417266,2.155796528,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,604918629.000000000,1752906052.000000000,388.213836670,407.938751221,0.000000000,792.942260742,387.433380127,0.000000000,805.974609375,526.377685547,0.000000000,380.416046143,547.228759766,0.000000000,3.000000000,0.000000000,1.000000000,604918629.000000000,1752906052.000000000,3.000000000
1752906052.672721,0.713951051,2.294028282,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,616060007.000000000,1752906052.000000000,388.218017578,407.972473145,0.000000000,792.934082031,387.417358398,0.000000000,805.734619141,527.176147461,0.000000000,380.401916504,547.195800781,0.000000000,3.000000000,0.000000000,1.000000000,616060007.000000000,1752906052.000000000,3.000000000
1752906052.681675,0.714665592,2.269486189,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,627024275.000000000,1752906052.000000000,388.243743896,407.966217041,0.000000000,792.952148438,387.450683594,0.000000000,805.994873047,526.338989258,0.000000000,380.738952637,547.081176758,0.000000000,3.000000000,0.000000000,1.000000000,627024275.000000000,1752906052.000000000,3.000000000
1752906052.691068,0.714184582,2.187421560,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,638144058.000000000,1752906052.000000000,388.212127686,407.976226807,0.000000000,792.457275391,387.563964844,0.000000000,805.075439453,526.737182617,0.000000000,380.416076660,547.259033203,0.000000000,3.000000000,0.000000000,1.000000000,638144058.000000000,1752906052.000000000,3.000000000
1752906052.700054,0.714665592,2.261677265,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,660845781.000000000,1752906052.000000000,388.239593506,407.968353271,0.000000000,792.462890625,387.505279541,0.000000000,805.988525391,526.415466309,0.000000000,380.412902832,547.247009277,0.000000000,3.000000000,0.000000000,1.000000000,660845781.000000000,1752906052.000000000,3.000000000
1752906052.709969,0.714574933,2.079025984,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,671507192.000000000,1752906052.000000000,388.638977051,408.076049805,0.000000000,792.436401367,387.481140137,0.000000000,805.097045898,526.822998047,0.000000000,380.418304443,547.296936035,0.000000000,3.000000000,0.000000000,1.000000000,671507192.000000000,1752906052.000000000,3.000000000
1752906052.719712,0.714867711,2.327046394,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,693605554.000000000,1752906052.000000000,388.677368164,408.079711914,0.000000000,792.948852539,387.434936523,0.000000000,805.117431641,526.731567383,0.000000000,380.428527832,547.207275391,0.000000000,3.000000000,0.000000000,1.000000000,693605554.000000000,1752906052.000000000,3.000000000
1752906052.737561,0.718505919,2.137307167,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,704782957.000000000,1752906052.000000000,388.217010498,407.890258789,0.000000000,792.463989258,387.455383301,0.000000000,805.123352051,526.886840820,0.000000000,380.436798096,547.295288086,0.000000000,3.000000000,0.000000000,1.000000000,704782957.000000000,1752906052.000000000,3.000000000
1752906052.747238,0.717746258,2.336645603,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,715905801.000000000,1752906052.000000000,388.212310791,407.927947998,0.000000000,792.967407227,387.349243164,0.000000000,805.119934082,526.804565430,0.000000000,380.438568115,547.263000488,0.000000000,3.000000000,0.000000000,1.000000000,715905801.000000000,1752906052.000000000,3.000000000
1752906052.756347,0.714665592,2.078562975,372.000000000,283.000000000,0.000000000,822.000000000,283.000000000,0.000000000,822.000000000,641.000000000,0.000000000,372.000000000,641.000000000,0.000000000,727056543.000000000,1752906052.000000000,388.219757080,407.963195801,0.000000000,792.949645996,387.398803711,0.000000000,805.476379395,527.890014648,0.000000000,380.406127930,547.277587891,0.000000000,3.000000000,0.000000000,1.000000000,727056543.000000000,1752906052.000000000,3.000000000
