__time,/debug/enable_control,/debug/fire,/debug/pitch,/debug/pitch_gimbal,/debug/target_pitch,/debug/target_yaw,/debug/yaw,/debug/yaw_gimbal
1764763373.317000,1.000000000,1.000000000,-0.044528358,-0.037602462,-0.044528358,-0.198559254,-0.198559254,-0.198686481
1764763373.328175,1.000000000,1.000000000,-0.044545669,-0.037566163,-0.044545669,-0.198562875,-0.198562875,-0.198776007
1764763373.339212,1.000000000,1.000000000,-0.044556770,-0.037580714,-0.044556770,-0.198634520,-0.198634520,-0.198827624
1764763373.350386,1.000000000,1.000000000,-0.044505130,-0.037593022,-0.044505130,-0.198260307,-0.198260307,-0.198837280
1764763373.360932,1.000000000,1.000000000,-0.044513445,-0.037600975,-0.044513445,-0.198311165,-0.198311165,-0.198875189
1764763373.372133,1.000000000,1.000000000,-0.044551492,-0.037623491,-0.044551492,-0.197908461,-0.197908461,-0.198842168
1764763373.383160,1.000000000,1.000000000,-0.044561971,-0.037646081,-0.044561971,-0.197941244,-0.197941244,-0.198878884
1764763373.394529,1.000000000,1.000000000,-0.044023037,-0.037648913,-0.044023037,-0.196531311,-0.196531311,-0.198935747
1764763373.405243,1.000000000,1.000000000,-0.044008590,-0.037670430,-0.044008590,-0.196490616,-0.196490616,-0.198922038
1764763373.416322,1.000000000,1.000000000,-0.044097017,-0.037704289,-0.044097017,-0.196289048,-0.196289048,-0.198961258
1764763373.427395,1.000000000,1.000000000,-0.044087157,-0.037722133,-0.044087157,-0.196240470,-0.196240470,-0.198878527
1764763373.438360,1.000000000,1.000000000,-0.044113901,-0.037764717,-0.044113901,-0.196194455,-0.196194455,-0.198775053
1764763373.449524,1.000000000,1.000000000,-0.044105593,-0.037760530,-0.044105593,-0.196145460,-0.196145460,-0.198711276
1764763373.460586,1.000000000,1.000000000,-0.043919723,-0.037765183,-0.043919723,-0.194743231,-0.194743231,-0.198619604
1764763373.471418,1.000000000,1.000000000,-0.043903008,-0.037763756,-0.043903008,-0.194622725,-0.194622725,-0.198548913
1764763373.482516,1.000000000,1.000000000,-0.044024087,-0.037768543,-0.044024087,-0.195389330,-0.195389330,-0.198498249
1764763373.493199,1.000000000,1.000000000,-0.044013679,-0.037782285,-0.044013679,-0.195312738,-0.195312738,-0.198383093
1764763373.504486,1.000000000,1.000000000,-0.044154588,-0.037827473,-0.044154588,-0.195939183,-0.195939183,-0.198141694
1764763373.515285,1.000000000,1.000000000,-0.044150878,-0.037796531,-0.044150874,-0.195896029,-0.195896029,-0.198067069
1764763373.525919,1.000000000,1.000000000,-0.044147175,-0.037787475,-0.044147175,-0.195852950,-0.195852950,-0.197943568
1764763373.537087,1.000000000,1.000000000,-0.043918628,-0.037776701,-0.043918628,-0.196294591,-0.196294591,-0.197936416
1764763373.547966,1.000000000,1.000000000,-0.043905154,-0.037775241,-0.043905154,-0.196271226,-0.196271226,-0.197966814
1764763373.558923,1.000000000,1.000000000,-0.042744573,-0.037830126,-0.042744573,-0.196226373,-0.196226373,-0.197948337
1764763373.569793,1.000000000,1.000000000,-0.042680666,-0.037837092,-0.042680666,-0.196196005,-0.196196005,-0.198025584
1764763373.581001,1.000000000,1.000000000,-0.043273456,-0.037823569,-0.043273456,-0.196389705,-0.196389705,-0.198006272
1764763373.591943,1.000000000,1.000000000,-0.043238021,-0.037881225,-0.043238021,-0.196372345,-0.196372345,-0.198016047
1764763373.603041,1.000000000,1.000000000,-0.043670177,-0.037914149,-0.043670177,-0.197151497,-0.197151497,-0.198030829
1764763373.614077,1.000000000,1.000000000,-0.043656036,-0.037897613,-0.043656036,-0.197172627,-0.197172627,-0.197988033
1764763373.624751,1.000000000,1.000000000,-0.043641761,-0.037880417,-0.043641761,-0.197193950,-0.197193950,-0.198044419
1764763373.635691,1.000000000,1.000000000,-0.044403665,-0.037875887,-0.044403665,-0.198233217,-0.198233217,-0.198111296
1764763373.646749,1.000000000,1.000000000,-0.044422593,-0.037867986,-0.044422589,-0.198302150,-0.198302150,-0.198170424
1764763373.658137,1.000000000,1.000000000,-0.045190003,-0.037883461,-0.045190003,-0.199357316,-0.199357316,-0.198216796
1764763373.668812,1.000000000,1.000000000,-0.045243770,-0.037887916,-0.045243766,-0.199481517,-0.199481517,-0.198385596
1764763373.679740,1.000000000,1.000000000,-0.044932451,-0.037839137,-0.044932451,-0.198612541,-0.198612541,-0.198448896
1764763373.690734,1.000000000,1.000000000,-0.044968341,-0.037785415,-0.044968341,-0.198687479,-0.198687479,-0.198622584
1764763373.701969,1.000000000,1.000000000,-0.044363715,-0.037763607,-0.044363715,-0.196918160,-0.196918160,-0.198903561
1764763373.712970,1.000000000,1.000000000,-0.044371296,-0.037767325,-0.044371296,-0.196900904,-0.196900904,-0.198983908
1764763373.724249,1.000000000,1.000000000,-0.043366570,-0.037761226,-0.043366570,-0.195992008,-0.195992008,-0.199049592
1764763373.735741,1.000000000,1.000000000,-0.043327279,-0.037779577,-0.043327279,-0.195930272,-0.195930272,-0.198978543
1764763373.746559,1.000000000,1.000000000,-0.043599024,-0.037824538,-0.043599021,-0.196633741,-0.196633741,-0.198858023
1764763373.757538,1.000000000,1.000000000,-0.043575443,-0.037832044,-0.043575443,-0.196611717,-0.196611717,-0.198785067
1764763373.768448,1.000000000,1.000000000,-0.043535288,-0.037856992,-0.043535288,-0.196284115,-0.196284115,-0.198635221
1764763373.779076,1.000000000,1.000000000,-0.043510862,-0.037842564,-0.043510862,-0.196247533,-0.196247533,-0.198524475
1764763373.790098,1.000000000,1.000000000,-0.043640312,-0.037859395,-0.043640312,-0.196413159,-0.196413159,-0.198544264
1764763373.800619,1.000000000,1.000000000,-0.043622427,-0.037880376,-0.043622427,-0.196384832,-0.196384832,-0.198492885
1764763373.811711,1.000000000,1.000000000,-0.043927185,-0.037861876,-0.043927185,-0.196510196,-0.196510196,-0.198474884
1764763373.822859,1.000000000,1.000000000,-0.043923814,-0.037867140,-0.043923814,-0.196490809,-0.196490809,-0.198450089
1764763373.833898,1.000000000,1.000000000,-0.044101935,-0.037924893,-0.044101935,-0.196464077,-0.196464077,-0.198397994
1764763373.844680,1.000000000,1.000000000,-0.044106565,-0.037904903,-0.044106565,-0.196445838,-0.196445838,-0.198444963
1764763373.855634,1.000000000,1.000000000,-0.044255596,-0.037876729,-0.044255596,-0.197040409,-0.197040409,-0.198399067
1764763373.866751,1.000000000,1.000000000,-0.044266749,-0.037877921,-0.044266749,-0.197051346,-0.197051346,-0.198388696
1764763373.878037,1.000000000,1.000000000,-0.044394635,-0.037872203,-0.044394635,-0.196441665,-0.196441665,-0.198459983
1764763373.888822,1.000000000,1.000000000,-0.044411298,-0.037883323,-0.044411298,-0.196424499,-0.196424499,-0.198418856
1764763373.899853,1.000000000,1.000000000,-0.044495665,-0.037872024,-0.044495665,-0.196880609,-0.196880609,-0.198489189
1764763373.910649,1.000000000,1.000000000,-0.044514809,-0.037857752,-0.044514809,-0.196885660,-0.196885660,-0.198549509
1764763373.921524,1.000000000,1.000000000,-0.044310443,-0.037863292,-0.044310443,-0.196388140,-0.196388140,-0.198453903
1764763373.932332,1.000000000,1.000000000,-0.044319432,-0.037878472,-0.044319432,-0.196368471,-0.196368471,-0.198460221
1764763373.943525,1.000000000,1.000000000,-0.044504713,-0.037879642,-0.044504713,-0.196814016,-0.196814016,-0.198521018
1764763373.954482,1.000000000,1.000000000,-0.044522040,-0.037870906,-0.044522040,-0.196816653,-0.196816653,-0.198440313
1764763373.965598,1.000000000,1.000000000,-0.044615116,-0.037885066,-0.044615116,-0.197114304,-0.197114304,-0.198453546
1764763373.976324,1.000000000,1.000000000,-0.044635877,-0.037905529,-0.044635877,-0.197131082,-0.197131082,-0.198500752
1764763373.987195,1.000000000,1.000000000,-0.044650789,-0.037914313,-0.044650789,-0.197312817,-0.197312817,-0.198407769
1764763373.998559,1.000000000,1.000000000,-0.044671200,-0.037900642,-0.044671200,-0.197337523,-0.197337523,-0.198474884
1764763374.009611,1.000000000,1.000000000,-0.045037314,-0.037876528,-0.045037314,-0.197944060,-0.197944060,-0.198563576
1764763374.020535,1.000000000,1.000000000,-0.045073833,-0.037907545,-0.045073833,-0.197998002,-0.197998002,-0.198515415
1764763374.031518,1.000000000,1.000000000,-0.045110643,-0.037897315,-0.045110643,-0.198052377,-0.198052377,-0.198641062
1764763374.042561,1.000000000,1.000000000,-0.045096878,-0.037886370,-0.045096878,-0.197932169,-0.197932169,-0.198629737
1764763374.053438,1.000000000,1.000000000,-0.045131743,-0.037885632,-0.045131743,-0.197985291,-0.197985291,-0.198683858
1764763374.064706,1.000000000,1.000000000,-0.045536384,-0.037866324,-0.045536384,-0.199201941,-0.199201941,-0.198809624
1764763374.075655,1.000000000,1.000000000,-0.045590177,-0.037859716,-0.045590177,-0.199316695,-0.199316695,-0.198810697
1764763374.086600,1.000000000,1.000000000,-0.045224294,-0.037847430,-0.045224294,-0.198128223,-0.198128223,-0.198886514
1764763374.097661,1.000000000,1.000000000,-0.045258466,-0.037807494,-0.045258466,-0.198178381,-0.198178381,-0.199074745
1764763374.108869,1.000000000,1.000000000,-0.044080403,-0.037811175,-0.044080403,-0.196297795,-0.196297795,-0.199103713
1764763374.119950,1.000000000,1.000000000,-0.044060085,-0.037806731,-0.044060085,-0.196253136,-0.196253136,-0.199204922
1764763374.131087,1.000000000,1.000000000,-0.043887984,-0.037838496,-0.043887984,-0.195408940,-0.195408940,-0.199210167
1764763374.141840,1.000000000,1.000000000,-0.043860275,-0.037935108,-0.043860275,-0.195321470,-0.195321470,-0.199089289
1764763374.152741,1.000000000,1.000000000,-0.043832008,-0.037955549,-0.043832008,-0.195065811,-0.195065811,-0.199014902
1764763374.163840,1.000000000,1.000000000,-0.043804564,-0.037977964,-0.043804564,-0.194968075,-0.194968075,-0.198777080
1764763374.174536,1.000000000,1.000000000,-0.043843146,-0.037979174,-0.043843146,-0.192730099,-0.192730099,-0.198530078
1764763374.185626,1.000000000,1.000000000,-0.043818764,-0.037964612,-0.043818764,-0.192529753,-0.192529753,-0.198447585
1764763374.196715,1.000000000,1.000000000,-0.044143062,-0.037973106,-0.044143062,-0.193673775,-0.193673775,-0.198157787
1764763374.207697,1.000000000,1.000000000,-0.044134039,-0.037991788,-0.044134039,-0.193532974,-0.193532974,-0.197899103
1764763374.219047,1.000000000,1.000000000,-0.044353824,-0.038005546,-0.044353824,-0.194488257,-0.194488257,-0.197534680
1764763374.229964,1.000000000,1.000000000,-0.044355258,-0.038010169,-0.044355258,-0.194397017,-0.194397017,-0.197185993
1764763374.240786,1.000000000,1.000000000,-0.044158362,-0.037970200,-0.044158362,-0.195026472,-0.195026472,-0.196987391
1764763374.251716,1.000000000,1.000000000,-0.044150308,-0.037939657,-0.044150308,-0.194969952,-0.194969952,-0.196853518
1764763374.262689,1.000000000,1.000000000,-0.044646602,-0.037936684,-0.044646602,-0.197994143,-0.197994143,-0.196816683
1764763374.273680,1.000000000,1.000000000,-0.044662032,-0.037960436,-0.044662032,-0.198092431,-0.198092431,-0.196895480
1764763374.284631,1.000000000,1.000000000,-0.045225672,-0.037973933,-0.045225672,-0.198219150,-0.198219150,-0.196963668
1764763374.295808,1.000000000,1.000000000,-0.045266926,-0.037981939,-0.045266926,-0.198318526,-0.198318526,-0.197182655
1764763374.307105,1.000000000,1.000000000,-0.045195859,-0.037942477,-0.045195859,-0.200068742,-0.200068742,-0.197429895
1764763374.318154,1.000000000,1.000000000,-0.045234125,-0.037934646,-0.045234125,-0.200258121,-0.200258121,-0.197672606
1764763374.329103,1.000000000,1.000000000,-0.045050908,-0.037917409,-0.045050908,-0.199312508,-0.199312508,-0.198014617
1764763374.340319,1.000000000,1.000000000,-0.045078442,-0.037891392,-0.045078442,-0.199441716,-0.199441716,-0.198345661
